gdp_cap,life_exp,pop,continent
974.58,43.828,31.89,Asia
5937.03,76.423,3.6005,Europe
6223.367,72.301,33.333,Africa
4797.231,42.731,12.4205,Africa
12779.38,75.32,40.302,America
34435.367,81.235,20.434,Oceania
36126.493,79.829,8.2,Europe
29796.048,75.635,0.7085,Asia
1391.254,64.062,150.4485,Asia
33692.605,79.441,10.392,Europe
1441.285,56.728,8.0785,Africa
3822.137,65.554,9.119,America
7446.299,74.852,4.552,Europe
12569.852,50.728,1.639,Africa
9065.801,72.39,190.0105,America
10680.793,73.005,7.323,Europe
1217.033,52.295,14.326,Africa
430.071,49.58,8.3905,Africa
1713.779,59.723,14.132,Asia
2042.095,50.43,17.6965,Africa
36319.235,80.653,33.39,America
706.017,44.741,4.369,Africa
1704.064,50.651,10.239,Africa
13171.639,78.553,16.2845,America
4959.115,72.961,1318.683,Asia
7006.58,72.889,44.2275,America
986.148,65.152,0.711,Africa
277.552,46.462,64.607,Africa
3632.558,55.322,3.8005,Africa
9645.061,78.782,4.134,America
1544.75,48.328,18.0135,Africa
14619.223,75.748,4.4935,Europe
8948.103,78.273,11.417,America
22833.309,76.486,10.2285,Europe
35278.419,78.332,5.468,Europe
2082.482,54.791,0.4965,Africa
6025.375,72.235,9.3195,America
6873.262,74.994,13.7555,America
5581.181,71.338,80.2645,Africa
5728.354,71.878,6.9395,America
12154.09,51.579,0.551,Africa
641.37,58.04,4.9065,Africa
690.806,52.947,76.512,Africa
33207.084,79.313,5.2385,Europe
30470.017,80.657,61.084,Europe
13206.485,56.735,1.455,Africa
752.75,59.448,1.6885,Africa
32170.374,79.406,82.401,Europe
1327.609,60.022,22.8735,Africa
27538.412,79.483,10.7065,Europe
5186.05,70.259,12.573,America
942.654,56.007,9.948,Africa
579.232,46.388,1.472,Africa
1201.637,60.916,8.503,America
3548.331,70.198,7.484,America
39724.979,82.208,6.9805,Asia
18008.944,73.338,9.956,Europe
36180.789,81.757,0.302,Europe
2452.21,64.698,1110.3965,Asia
3540.652,70.65,223.547,Asia
11605.714,70.964,69.4535,Asia
4471.062,59.545,27.4995,Asia
40675.996,78.885,4.109,Europe
25523.277,80.745,6.4265,Asia
28569.72,80.546,58.1475,Europe
7320.88,72.567,2.78,America
31656.068,82.603,127.468,Asia
4519.461,72.535,6.053,Asia
1463.249,54.11,35.61,Africa
1593.065,67.297,23.3015,Asia
23348.14,78.623,49.045,Asia
47306.99,77.588,2.5055,Asia
10461.059,71.993,3.9215,Asia
1569.331,42.592,2.0125,Africa
414.507,45.678,3.194,Africa
12057.499,73.952,6.037,Africa
1044.77,59.443,19.1675,Africa
759.35,48.303,13.327,Africa
12451.656,74.241,24.8215,Asia
1042.582,54.467,12.032,Africa
1803.151,64.164,3.27,Africa
10956.991,72.801,1.251,Africa
11977.575,76.195,108.701,America
3095.772,66.803,2.874,Asia
9253.896,74.543,0.6845,Europe
3820.175,71.164,33.757,Africa
823.686,42.082,19.9515,Africa
944.0,62.069,47.762,Asia
4811.06,52.906,2.055,Africa
1091.36,63.785,28.902,Asia
36797.933,79.762,16.5705,Europe
25185.009,80.204,4.116,Oceania
2749.321,72.899,5.6755,America
619.677,56.867,12.895,Africa
2013.977,46.859,135.031,Africa
49357.19,80.196,4.628,Europe
22316.193,75.64,3.205,Asia
2605.948,65.483,169.2705,Asia
9809.186,75.537,3.242,America
4172.838,71.752,6.667,America
7408.906,71.421,28.675,America
3190.481,71.688,91.0775,Asia
15389.925,75.563,38.518,Europe
20509.648,78.098,10.643,Europe
19328.709,78.746,3.9425,America
7670.123,76.442,0.798,Africa
10808.476,72.476,22.276,Europe
863.088,46.242,8.8605,Africa
1598.435,65.528,0.1995,Africa
21654.832,72.777,27.601,Asia
1712.472,63.062,12.2675,Africa
9786.535,74.002,10.1505,Europe
862.541,42.568,6.1445,Africa
47143.18,79.972,4.553,Asia
18678.314,74.663,5.4475,Europe
25768.258,77.926,2.009,Europe
926.141,48.159,9.119,Africa
9269.658,49.339,43.998,Africa
28821.064,80.941,40.448,Europe
3970.095,72.396,20.378,Asia
2602.395,58.556,42.293,Africa
4513.481,39.613,1.133,Africa
33859.748,80.884,9.031,Europe
37506.419,81.701,7.5545,Europe
4184.548,74.143,19.3145,Asia
28718.277,78.4,23.1745,Asia
1107.482,52.517,38.1395,Africa
7458.396,70.616,65.068,Asia
882.97,58.42,5.7015,Africa
18008.509,69.819,1.0565,America
7092.923,73.923,10.276,Africa
8458.276,71.777,71.1585,Europe
1056.38,51.542,29.1705,Africa
33203.261,79.425,60.776,Europe
42951.653,78.242,301.14,America
10611.463,76.384,3.4475,America
11415.806,73.747,26.0845,America
2441.576,74.249,85.2625,Asia
3025.35,73.422,4.0185,Asia
2280.77,62.698,22.2115,Asia
1271.212,42.384,11.746,Africa
469.709,43.487,12.311,Africa
